id,price,destination,hand_luggage,checked_baggage,trip_mins,is_holiday,days_left
PQC0110,1563000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0043,1790000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0067,1790000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,1
PQC0019,1035000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0111,1143000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0134,1143000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,2,2
PQC0044,1281000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0068,1281000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0090,1281000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,2,2
PQC0020,1034000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,3
PQC0135,1034000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,0,3
PQC0091,1142000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,3
PQC0112,1142000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,3
PQC0045,1280000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,3
PQC0069,1280000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,3
PQC0021,1034000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0113,1034000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0136,1034000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,0,4
PQC0064,1142000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0070,1142000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0092,1142000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0046,1280000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,4
PQC0137,815000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,65,0,5
PQC0022,1034000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,5
PQC0114,1034000,"Phú Quốc (PQC)
Sân bay Phú Quốc",7,0,60,0,5
