id,brand,price,destination,trip_mins,is_holiday,days_left,start_hour_Afternoon,start_hour_EarlyMorning,start_hour_Evening,start_hour_LateNight,start_hour_Morning,end_hour_Afternoon,end_hour_EarlyMorning,end_hour_Evening,end_hour_LateNight,end_hour_Morning,hand_luggage_7,hand_luggage_10,hand_luggage_12,checked_baggage_0,checked_baggage_20,checked_baggage_23
CXR0005,VietJet Air,1614583,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,2,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1566161,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,1,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1049725,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,20,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1136153,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,19,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1305728,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,18,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1327929,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,17,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1284780,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,16,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1285778,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,15,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1328670,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,14,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1326675,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,13,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1328670,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,12,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1306725,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,11,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1319693,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,10,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1318695,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,9,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1306725,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,8,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1308720,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,7,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1307723,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,6,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1303733,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,5,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1294755,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,4,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0005,VietJet Air,1277798,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,3,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1140143,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,3,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1143135,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,2,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1156103,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,1,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
CXR0006,VietJet Air,1026428,"Nha Trang (CXR)
Sân bay Cam Ranh",60,2,20,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
